ticket_id,customer_id,timestamp,product,plan,region,customer_tenure_months,customer_age_group,ticket_channel,complaint_text,complaint_category,sub_category,sentiment,sentiment_score,urgency,priority,previous_ticket_count,same_issue_count,previous_resolution_time_hours,current_resolution_time_hours,agent_id,resolution_status,resolution_text,customer_satisfaction,refund_requested,refund_amount,service_downtime_minutes,usage_drop_percent,payment_failure_count,competitor_mentioned,churn_risk,churned,root_cause,root_cause_confidence,date,month,week,order_id,payment_id,refund_id,order_amount,order_status,payment_status,refund_status,refund_amount_synthetic,transaction_date,refund_requested_date
T06287,C10240,2026-01-01 03:37:00,E-commerce,Standard,Mumbai,70,25-34,Chat,The order was cancelled after payment was completed,Order Cancellation,Order Cancellation,Negative,-0.81,Low,P3,2,0,11,11,AG123,Resolved,Investigated order cancellation issue; payment-order reconciliation failure identified and corrective action applied.,4.9,True,7275.13,18,0.0,2,False,Low,No,Payment-order reconciliation failure,0.87,2026-01-01,2026-01,1,ORD-100010,PAY-200010,REF-300010,7275.13,CANCELLED,FAILED,COMPLETED,7275.13,,
T02251,C11324,2026-01-01 04:10:00,E-commerce,Enterprise,Bengaluru,57,18-24,Phone,Delivery is delayed beyond the promised date,Delivery,Delivery,Negative,-0.36,Medium,P2,7,4,43,30,AG113,Resolved,Investigated delivery issue; courier capacity issue identified and corrective action applied.,4.4,False,0.0,0,0.0,0,False,Medium,No,Courier capacity issue,0.98,2026-01-01,2026-01,1,ORD-100011,PAY-200011,REF-300011,14641.0,DELIVERED,SUCCESS,NOT_REQUESTED,0.0,,
T03931,C11321,2026-01-01 04:21:00,Mobile App,Premium,Bengaluru,31,25-34,Chat,I received only a partial refund,Refund,Refund,Negative,-0.33,High,P1,4,3,13,20,AG113,Resolved,Investigated refund issue; refund processing queue backlog identified and corrective action applied.,3.1,False,0.0,15,6.6,1,False,Low,No,Refund processing queue backlog,0.87,2026-01-01,2026-01,1,ORD-100012,PAY-200012,REF-300012,11115.0,COMPLETED,FAILED,NOT_REQUESTED,0.0,,
T03576,C10330,2026-01-01 04:41:00,Streaming,Basic,Ahmedabad,41,18-24,Chat,I was charged after cancelling my subscription,Billing,Billing,Negative,-0.51,Low,P3,1,1,5,7,AG104,Resolved,Investigated billing issue; pricing configuration error identified and corrective action applied.,5.0,True,19447.6,4,0.0,3,True,Low,No,Pricing configuration error,0.84,2026-01-01,2026-01,1,ORD-100013,PAY-200013,REF-300013,19447.6,CANCELLED,FAILED,COMPLETED,19447.6,,
T03456,C10068,2026-01-01 05:11:00,Mobile App,Standard,Ahmedabad,10,55+,Chat,Money was deducted but the transaction failed,Payment,Payment,Negative,-0.48,Medium,P2,9,1,49,35,AG115,Resolved,Investigated payment issue; bank api failure identified and corrective action applied.,4.0,False,0.0,6,13.1,3,True,Medium,No,Bank API failure,0.96,2026-01-01,2026-01,1,ORD-100014,PAY-200014,REF-300014,10846.0,COMPLETED,FAILED,NOT_REQUESTED,0.0,,
T01862,C11339,2026-01-01 05:25:00,Mobile App,Premium,Jaipur,48,18-24,App,I was charged twice for the same transaction,Payment,Payment,Negative,-1.0,Medium,P2,6,5,39,43,AG110,Resolved,Investigated payment issue; gateway latency identified and corrective action applied.,4.7,True,3567.77,20,6.2,3,False,Medium,No,Gateway latency,0.76,2026-01-01,2026-01,1,ORD-100015,PAY-200015,REF-300015,3567.77,COMPLETED,FAILED,COMPLETED,3567.77,,
T03836,C10897,2026-01-01 05:44:00,E-commerce,Standard,Delhi NCR,56,25-34,Social Media,My order has not arrived,Delivery,Delivery,Negative,-0.26,Low,P3,5,3,10,8,AG108,Resolved,Investigated delivery issue; warehouse backlog identified and corrective action applied.,4.7,False,0.0,4,30.1,0,False,Medium,No,Warehouse backlog,0.91,2026-01-01,2026-01,1,ORD-100016,PAY-200016,REF-300016,7843.0,DELIVERED,SUCCESS,NOT_REQUESTED,0.0,,
T08073,C10101,2026-01-01 06:28:00,Credit Card,Basic,Ahmedabad,52,45-54,App,I received only a partial refund,Refund,Refund,Negative,-0.26,Medium,P2,8,4,22,16,AG121,Resolved,Investigated refund issue; refund processing queue backlog identified and corrective action applied.,3.8,False,0.0,19,21.5,0,False,Medium,No,Refund processing queue backlog,0.81,2026-01-01,2026-01,1,ORD-100017,PAY-200017,REF-300017,2182.0,COMPLETED,SUCCESS,NOT_REQUESTED,0.0,,
T04335,C11014,2026-01-01 07:04:00,E-commerce,Basic,Mumbai,20,18-24,App,Refund status has been pending for several days,Refund,Refund,Negative,-0.22,Medium,P2,4,1,2,3,AG120,Resolved,Investigated refund issue; refund api delay identified and corrective action applied.,4.7,True,16966.09,14,20.5,1,True,Medium,No,Refund API delay,0.83,2026-01-01,2026-01,1,ORD-100018,PAY-200018,REF-300018,16966.09,COMPLETED,FAILED,PENDING,16966.09,,
T07667,C11371,2026-01-01 10:05:00,E-commerce,Enterprise,Mumbai,21,25-34,Email,Delivery is delayed beyond the promised date,Delivery,Delivery,Negative,-0.66,High,P1,6,3,16,11,AG101,Resolved,Investigated delivery issue; warehouse backlog identified and corrective action applied.,3.6,False,0.0,2,10.3,0,False,Medium,No,Warehouse backlog,0.93,2026-01-01,2026-01,1,ORD-100019,PAY-200019,REF-300019,6920.0,DELIVERED,SUCCESS,NOT_REQUESTED,0.0,,
T04223,C11765,2026-01-01 10:50:00,Internet,Basic,Chennai,62,25-34,Social Media,Internet has been completely down,Downtime,Downtime,Negative,-0.63,High,P1,7,4,29,28,AG104,Resolved,Investigated downtime issue; maintenance incident identified and corrective action applied.,4.3,False,0.0,218,19.1,1,True,High,No,Maintenance incident,0.81,2026-01-01,2026-01,1,ORD-100020,PAY-200020,REF-300020,7654.0,COMPLETED,FAILED,NOT_REQUESTED,0.0,,
T04719,C10203,2026-01-01 11:21:00,Credit Card,Enterprise,Chennai,60,55+,App,Card payment failed at several stores,Transaction,Transaction,Negative,-0.6,Low,P3,5,0,6,7,AG103,Resolved,Investigated transaction issue; payment processor issue identified and corrective action applied.,4.7,False,0.0,2,19.1,4,True,Low,No,Payment processor issue,0.76,2026-01-01,2026-01,1,ORD-100021,PAY-200021,REF-300021,5750.0,COMPLETED,FAILED,NOT_REQUESTED,0.0,,
T02070,C11091,2026-01-01 11:27:00,Mobile App,Premium,Lucknow,17,55+,Chat,Wallet balance is incorrect,Wallet,Wallet,Neutral,0.06,Low,P3,4,1,16,19,AG116,Resolved,Investigated wallet issue; top-up gateway timeout identified and corrective action applied.,3.2,False,0.0,29,17.6,0,False,Low,No,Top-up gateway timeout,0.87,2026-01-01,2026-01,1,ORD-100022,PAY-200022,REF-300022,2982.0,COMPLETED,SUCCESS,NOT_REQUESTED,0.0,,
T01804,C10427,2026-01-01 13:04:00,Credit Card,Enterprise,Chennai,68,18-24,Phone,A valid transaction was unexpectedly declined,Transaction,Transaction,Negative,-0.87,Medium,P2,6,0,11,8,AG108,Resolved,Investigated transaction issue; bank issuer decline identified and corrective action applied.,4.0,False,0.0,2,10.8,2,False,Low,No,Bank issuer decline,0.94,2026-01-01,2026-01,1,ORD-100023,PAY-200023,REF-300023,13923.0,COMPLETED,FAILED,NOT_REQUESTED,0.0,,
T02709,C11173,2026-01-01 13:12:00,Mobile App,Premium,Chennai,44,18-24,Phone,I received only a partial refund,Refund,Refund,Negative,-0.69,Low,P3,5,5,15,13,AG119,Pending Customer,Case escalated for further investigation; suspected cause: refund processing queue backlog.,3.5,True,6049.42,1,9.2,1,False,High,No,Refund processing queue backlog,0.88,2026-01-01,2026-01,1,ORD-100024,PAY-200024,REF-300024,6049.42,COMPLETED,FAILED,PENDING,6049.42,,
T05054,C10716,2026-01-01 15:40:00,Mobile App,Basic,Mumbai,53,35-44,Chat,I cannot log into my account,Login,Login,Negative,-0.6,Medium,P2,4,0,5,8,AG110,Escalated,Case escalated for further investigation; suspected cause: session management bug.,3.8,False,0.0,24,2.1,2,True,Medium,No,Session management bug,0.82,2026-01-01,2026-01,1,ORD-100025,PAY-200025,REF-300025,9764.0,COMPLETED,FAILED,NOT_REQUESTED,0.0,,
T03883,C10096,2026-01-01 16:10:00,Mobile App,Premium,Kolkata,52,35-44,Email,The app keeps logging me out,Login,Login,Negative,-0.77,Medium,P2,8,5,19,25,AG124,Resolved,Investigated login issue; password reset service failure identified and corrective action applied.,5.0,False,0.0,15,24.8,2,False,Medium,No,Password reset service failure,0.88,2026-01-01,2026-01,1,ORD-100026,PAY-200026,REF-300026,6214.0,COMPLETED,FAILED,NOT_REQUESTED,0.0,,
T02836,C10650,2026-01-01 16:23:00,E-commerce,Basic,Pune,63,25-34,Email,The package has been stuck at the delivery hub,Delivery,Delivery,Negative,-0.57,Low,P3,4,0,5,7,AG105,Resolved,Investigated delivery issue; courier capacity issue identified and corrective action applied.,3.6,False,0.0,26,4.4,0,False,Low,No,Courier capacity issue,0.8,2026-01-01,2026-01,1,ORD-100027,PAY-200027,REF-300027,12394.0,DELIVERED,SUCCESS,NOT_REQUESTED,0.0,,
T06541,C11341,2026-01-01 17:18:00,Streaming,Enterprise,Lucknow,70,35-44,Social Media,The video stops playing after a few minutes,Playback,Playback,Negative,-0.82,Medium,P2,8,2,7,7,AG103,Resolved,Investigated playback issue; cdn congestion identified and corrective action applied.,4.2,False,0.0,630,0.7,1,False,Medium,No,CDN congestion,0.94,2026-01-01,2026-01,1,ORD-100028,PAY-200028,REF-300028,8317.0,COMPLETED,FAILED,NOT_REQUESTED,0.0,,
T06949,C10535,2026-01-01 17:29:00,Streaming,Standard,Hyderabad,59,35-44,Social Media,I was charged after cancelling my subscription,Billing,Billing,Negative,-0.42,Low,P3,1,0,16,17,AG123,Pending Customer,Case escalated for further investigation; suspected cause: duplicate billing event.,2.0,False,0.0,18,26.0,2,False,Medium,No,Duplicate billing event,0.81,2026-01-01,2026-01,1,ORD-100029,PAY-200029,REF-300029,6817.0,CANCELLED,FAILED,NOT_REQUESTED,0.0,,
T05731,C11081,2026-01-01 17:57:00,Internet,Enterprise,Hyderabad,64,18-24,Email,My monthly bill is higher than expected,Billing,Billing,Negative,-0.84,Low,P3,4,4,7,9,AG114,Resolved,Investigated billing issue; billing calculation bug identified and corrective action applied.,3.6,False,0.0,15,13.4,2,False,Medium,No,Billing calculation bug,0.98,2026-01-01,2026-01,1,ORD-100030,PAY-200030,REF-300030,6921.0,COMPLETED,FAILED,NOT_REQUESTED,0.0,,
T03206,C11783,2026-01-01 18:21:00,Streaming,Enterprise,Bengaluru,65,18-24,Email,My subscription is not active after payment,Subscription,Subscription,Neutral,-0.19,Low,P3,7,2,5,8,AG116,Resolved,Investigated subscription issue; payment-subscription sync failure identified and corrective action applied.,4.2,False,0.0,5,19.7,1,False,Low,No,Payment-subscription sync failure,0.98,2026-01-01,2026-01,1,ORD-100031,PAY-200031,REF-300031,3639.0,COMPLETED,FAILED,NOT_REQUESTED,0.0,,
T05882,C11711,2026-01-01 19:09:00,E-commerce,Premium,Mumbai,41,35-44,Phone,Delivery is delayed beyond the promised date,Delivery,Delivery,Negative,-0.45,Low,P3,8,1,19,17,AG111,Resolved,Investigated delivery issue; incorrect address routing identified and corrective action applied.,5.0,False,0.0,1,0.0,2,False,Low,No,Incorrect address routing,0.81,2026-01-01,2026-01,1,ORD-100032,PAY-200032,REF-300032,1653.0,DELIVERED,FAILED,NOT_REQUESTED,0.0,,
T04507,C10026,2026-01-01 19:46:00,E-commerce,Premium,Bengaluru,66,35-44,Phone,The order was cancelled after payment was completed,Order Cancellation,Order Cancellation,Negative,-0.32,Medium,P2,0,0,12,13,AG119,Resolved,Investigated order cancellation issue; payment-order reconciliation failure identified and corrective action applied.,4.3,False,0.0,27,0.0,0,False,Low,No,Payment-order reconciliation failure,0.97,2026-01-01,2026-01,1,ORD-100033,PAY-200033,REF-300033,8451.0,CANCELLED,SUCCESS,NOT_REQUESTED,0.0,,
T08946,C10069,2026-01-01 20:24:00,Internet,Standard,Chennai,2,18-24,Social Media,Internet has been completely down,Downtime,Downtime,Negative,-0.58,Medium,P2,2,0,6,8,AG121,Resolved,Investigated downtime issue; core network failure identified and corrective action applied.,4.4,False,0.0,405,4.6,2,True,Low,No,Core network failure,0.96,2026-01-01,2026-01,1,ORD-100034,PAY-200034,REF-300034,13351.0,COMPLETED,FAILED,NOT_REQUESTED,0.0,,
T04193,C10060,2026-01-01 21:01:00,E-commerce,Standard,Hyderabad,9,25-34,Email,Payment keeps failing even though my bank account has sufficient balance,Payment,Payment,Negative,-0.7,Medium,P2,9,0,17,19,AG119,Resolved,Investigated payment issue; bank api failure identified and corrective action applied.,3.2,True,17806.52,20,0.0,5,True,Medium,No,Bank API failure,0.98,2026-01-01,2026-01,1,ORD-100035,PAY-200035,REF-300035,17806.52,COMPLETED,FAILED,COMPLETED,17806.52,,
T06801,C10094,2026-01-01 21:03:00,Mobile App,Premium,Lucknow,53,55+,Chat,Refund status has been pending for several days,Refund,Refund,Negative,-0.27,Low,P3,8,2,7,6,AG117,Resolved,Investigated refund issue; bank settlement delay identified and corrective action applied.,3.3,True,510.17,9,0.0,0,False,Low,No,Bank settlement delay,0.94,2026-01-01,2026-01,1,ORD-100036,PAY-200036,REF-300036,510.17,COMPLETED,SUCCESS,PENDING,510.17,,
T03765,C10296,2026-01-01 23:07:00,E-commerce,Enterprise,Kolkata,55,25-34,Phone,The product I received is damaged,Product Quality,Product Quality,Negative,-0.65,Medium,P2,5,2,2,3,AG105,Resolved,Investigated product quality issue; warehouse handling damage identified and corrective action applied.,5.0,False,0.0,4,0.8,0,False,Low,No,Warehouse handling damage,0.79,2026-01-01,2026-01,1,ORD-100037,PAY-200037,REF-300037,12466.0,COMPLETED,SUCCESS,NOT_REQUESTED,0.0,,
T02021,C10681,2026-01-01 23:11:00,Internet,Premium,Pune,17,45-54,Email,Router keeps restarting,Router,Router,Negative,-0.72,High,P1,0,0,29,23,AG113,Resolved,Investigated router issue; hardware failure identified and corrective action applied.,3.5,False,0.0,9,13.3,0,False,Low,No,Hardware failure,0.96,2026-01-01,2026-01,1,ORD-100038,PAY-200038,REF-300038,4367.0,COMPLETED,SUCCESS,NOT_REQUESTED,0.0,,
T08761,C10729,2026-01-02 00:43:00,Credit Card,Premium,Bengaluru,49,45-54,Social Media,Money was deducted but the transaction failed,Payment,Payment,Negative,-0.65,High,P1,3,0,21,17,AG102,Resolved,Investigated payment issue; gateway latency identified and corrective action applied.,2.8,True,15016.64,30,0.0,1,False,Low,No,Gateway latency,0.91,2026-01-02,2026-01,1,ORD-100039,PAY-200039,REF-300039,15016.64,COMPLETED,FAILED,COMPLETED,15016.64,,
T09663,C10341,2026-01-02 01:22:00,E-commerce,Standard,Bengaluru,60,18-24,Chat,The product quality is different from what was advertised,Product Quality,Product Quality,Negative,-0.72,Low,P3,7,4,74,88,AG118,Resolved,Investigated product quality issue; inventory mismatch identified and corrective action applied.,3.3,False,0.0,7,15.8,0,False,Medium,No,Inventory mismatch,0.93,2026-01-02,2026-01,1,ORD-100040,PAY-200040,REF-300040,2728.0,COMPLETED,SUCCESS,NOT_REQUESTED,0.0,,
T06684,C11715,2026-01-02 01:36:00,Streaming,Basic,Kolkata,16,55+,Email,I was charged the wrong amount,Billing,Billing,Negative,-0.32,Medium,P2,2,1,7,10,AG102,Resolved,Investigated billing issue; duplicate billing event identified and corrective action applied.,3.7,True,18164.01,23,1.2,2,False,Low,No,Duplicate billing event,0.87,2026-01-02,2026-01,1,ORD-100041,PAY-200041,REF-300041,18164.01,COMPLETED,FAILED,COMPLETED,18164.01,,
T02611,C10602,2026-01-02 01:39:00,Streaming,Premium,Jaipur,58,18-24,Social Media,The app keeps logging me out,Login,Login,Negative,-0.63,Medium,P2,6,5,10,11,AG117,Resolved,Investigated login issue; authentication service timeout identified and corrective action applied.,3.9,False,0.0,4,5.0,2,False,Medium,No,Authentication service timeout,0.86,2026-01-02,2026-01,1,ORD-100042,PAY-200042,REF-300042,10597.0,COMPLETED,FAILED,NOT_REQUESTED,0.0,,
T04341,C10490,2026-01-02 02:18:00,Streaming,Basic,Lucknow,39,55+,Chat,A previously available show has disappeared,Content,Content,Negative,-0.8,Medium,P2,8,4,26,28,AG100,Resolved,Investigated content issue; content licensing expiration identified and corrective action applied.,4.4,False,0.0,27,16.5,0,True,Medium,No,Content licensing expiration,0.85,2026-01-02,2026-01,1,ORD-100043,PAY-200043,REF-300043,5510.0,COMPLETED,SUCCESS,NOT_REQUESTED,0.0,,
T08236,C10470,2026-01-02 02:57:00,Credit Card,Basic,Jaipur,44,35-44,Social Media,My card was blocked after an unexpected fraud alert,Fraud Alert,Fraud Alert,Negative,-0.56,High,P1,9,4,46,32,AG111,Resolved,Investigated fraud alert issue; unauthorized transaction identified and corrective action applied.,4.5,False,0.0,7,4.1,1,False,Medium,No,Unauthorized transaction,0.76,2026-01-02,2026-01,1,ORD-100044,PAY-200044,REF-300044,1297.0,COMPLETED,FAILED,NOT_REQUESTED,0.0,,
T02932,C10270,2026-01-02 03:07:00,Internet,Standard,Lucknow,51,55+,Social Media,Wi-Fi router is showing a red light,Router,Router,Neutral,-0.19,Medium,P2,2,1,9,7,AG115,Resolved,Investigated router issue; configuration sync failure identified and corrective action applied.,4.5,False,0.0,30,20.3,2,False,Low,No,Configuration sync failure,0.86,2026-01-02,2026-01,1,ORD-100045,PAY-200045,REF-300045,14569.0,COMPLETED,FAILED,NOT_REQUESTED,0.0,,
T06398,C10651,2026-01-02 03:26:00,Mobile App,Basic,Lucknow,12,18-24,Chat,I was charged twice for the same transaction,Payment,Payment,Neutral,-0.19,Low,P3,1,1,14,14,AG113,Resolved,Investigated payment issue; bank api failure identified and corrective action applied.,4.0,True,20008.66,14,9.1,5,False,Low,No,Bank API failure,0.82,2026-01-02,2026-01,1,ORD-100046,PAY-200046,REF-300046,20008.66,COMPLETED,FAILED,COMPLETED,20008.66,,
T09121,C10681,2026-01-02 04:39:00,Streaming,Standard,Delhi NCR,23,45-54,App,I was charged but premium features are locked,Subscription,Subscription,Negative,-0.38,Medium,P2,3,3,9,10,AG118,Resolved,Investigated subscription issue; entitlement service bug identified and corrective action applied.,4.3,False,0.0,9,24.6,1,False,Low,No,Entitlement service bug,0.96,2026-01-02,2026-01,1,ORD-100047,PAY-200047,REF-300047,13428.0,COMPLETED,FAILED,NOT_REQUESTED,0.0,,
T05611,C11274,2026-01-02 07:04:00,Credit Card,Enterprise,Lucknow,6,35-44,Chat,Refund status has been pending for several days,Refund,Refund,Negative,-0.29,Low,P3,5,4,21,25,AG107,Resolved,Investigated refund issue; bank settlement delay identified and corrective action applied.,2.8,True,17393.03,27,10.0,0,False,Medium,No,Bank settlement delay,0.82,2026-01-02,2026-01,1,ORD-100048,PAY-200048,REF-300048,17393.03,COMPLETED,SUCCESS,PENDING,17393.03,,
T06919,C10580,2026-01-02 08:25:00,E-commerce,Enterprise,Hyderabad,14,55+,Social Media,The package has been stuck at the delivery hub,Delivery,Delivery,Negative,-0.42,Medium,P2,9,2,7,8,AG102,Resolved,Investigated delivery issue; warehouse backlog identified and corrective action applied.,3.6,False,0.0,21,7.4,1,False,Low,No,Warehouse backlog,0.9,2026-01-02,2026-01,1,ORD-100049,PAY-200049,REF-300049,11742.0,DELIVERED,FAILED,NOT_REQUESTED,0.0,,
T04490,C10920,2026-01-02 09:56:00,Internet,Enterprise,Jaipur,53,18-24,Social Media,I was charged after cancelling my subscription,Billing,Billing,Neutral,-0.2,Low,P3,0,0,1,2,AG106,Resolved,Investigated billing issue; duplicate billing event identified and corrective action applied.,4.7,True,7075.73,7,0.0,5,False,Low,No,Duplicate billing event,0.9,2026-01-02,2026-01,1,ORD-100050,PAY-200050,REF-300050,7075.73,CANCELLED,FAILED,COMPLETED,7075.73,,
T06796,C10458,2026-01-02 10:09:00,Internet,Enterprise,Hyderabad,18,45-54,Email,I was charged the wrong amount,Billing,Billing,Negative,-0.6,High,P1,7,4,7,11,AG113,Resolved,Investigated billing issue; pricing configuration error identified and corrective action applied.,3.3,True,4038.4,1,0.0,3,False,Low,No,Pricing configuration error,0.84,2026-01-02,2026-01,1,ORD-100051,PAY-200051,REF-300051,4038.4,COMPLETED,FAILED,COMPLETED,4038.4,,
T07874,C11644,2026-01-02 10:31:00,Credit Card,Enterprise,Ahmedabad,25,45-54,Phone,My card transaction was declined multiple times,Transaction,Transaction,Negative,-0.56,Medium,P2,9,2,39,30,AG121,Pending Customer,Case escalated for further investigation; suspected cause: bank issuer decline.,1.5,False,0.0,17,17.1,0,False,Medium,No,Bank issuer decline,0.85,2026-01-02,2026-01,1,ORD-100052,PAY-200052,REF-300052,5648.0,COMPLETED,SUCCESS,NOT_REQUESTED,0.0,,
T07818,C10787,2026-01-02 10:41:00,Streaming,Standard,Ahmedabad,19,45-54,App,My subscription is not active after payment,Subscription,Subscription,Negative,-0.89,High,P1,9,3,14,11,AG124,Resolved,Investigated subscription issue; payment-subscription sync failure identified and corrective action applied.,3.2,False,0.0,3,0.0,2,False,Medium,No,Payment-subscription sync failure,0.84,2026-01-02,2026-01,1,ORD-100053,PAY-200053,REF-300053,7160.0,COMPLETED,FAILED,NOT_REQUESTED,0.0,,
T09619,C10637,2026-01-02 13:00:00,Streaming,Enterprise,Pune,45,18-24,Chat,The content I want is suddenly unavailable,Content,Content,Negative,-0.27,Low,P3,0,0,10,8,AG110,Resolved,Investigated content issue; catalog synchronization issue identified and corrective action applied.,3.9,False,0.0,24,5.0,0,False,Low,No,Catalog synchronization issue,0.93,2026-01-02,2026-01,1,ORD-100054,PAY-200054,REF-300054,7617.0,COMPLETED,SUCCESS,NOT_REQUESTED,0.0,,
T06016,C11264,2026-01-02 13:41:00,Internet,Enterprise,Mumbai,25,25-34,Chat,I was charged after cancelling my subscription,Billing,Billing,Neutral,0.1,High,P1,3,3,8,6,AG120,Resolved,Investigated billing issue; billing calculation bug identified and corrective action applied.,4.9,False,0.0,2,26.2,1,False,Medium,No,Billing calculation bug,0.95,2026-01-02,2026-01,1,ORD-100055,PAY-200055,REF-300055,942.0,CANCELLED,FAILED,NOT_REQUESTED,0.0,,
T03564,C11565,2026-01-02 16:51:00,Internet,Basic,Delhi NCR,57,35-44,App,Connection drops every evening,Connectivity,Connectivity,Negative,-0.81,Low,P3,9,5,26,28,AG124,Resolved,Investigated connectivity issue; network congestion identified and corrective action applied.,5.0,False,0.0,110,8.1,2,True,High,No,Network congestion,0.95,2026-01-02,2026-01,1,ORD-100056,PAY-200056,REF-300056,8334.0,COMPLETED,FAILED,NOT_REQUESTED,0.0,,
